Plant ID,Stom_length_1,Stom_length_2,Stom_length_3,Stom_length_4,Stom_length_5,Area,Stom_number,Scale,Notes,Initals ,Date
BETPAP03_WM.1.10X,22.048,22.198,24.142,21.417,24.607,583771.458,40,1.5725,,NKM,6/22/16
BETPAP04_WM.2.10X,16.662,16.644,19.112,17.407,20.833,583771.458,62,1.5725,,NKM,6/22/16
BETPOP01_WM.1.10X,24.809,22.725,25.389,19.867,25.769,583771.458,64,1.5725,,NKM,6/22/16
BETPOP03_WM.1.10X,22.38,18.188,22.402,20.969,23.348,583771.458,107,1.5725,,NKM,6/22/16
BETPOP04_WM.1.10X,24.153,27.852,23.666,24.539,26.189,583771.458,92,1.5725,,NKM,6/22/16
BETPOP05_WM.1.10X,29.199,22.441,22.205,22.258,22.703,583771.458,95,1.5725,,NKM,6/22/16
CORALT03_WM.2.10X,19.112,21.103,19.709,18.54,19.147,583771.458,60,1.5725,,NKM,6/22/16
CORALT04_WM.1.10X,15.764,17.635,17.079,15.787,17.325,583771.458,110,1.5725,,NKM,6/22/16
CORALT05_WM.3.10X,20.67,19.562,17.043,16.924,16.278,583771.458,109,1.5725,,NKM,6/22/16
CORALT06_WM.2.10X,21.377,19.92,20.072,23.001,20.135,583771.458,67,1.5725,,NKM,6/22/16
CORCOR01_WM.1.10X,21.608,20.233,24.32,21.701,19.315,583771.458,42,1.5725,,NKM,6/22/16
CORCOR02_WM.3.10X,22.524,21.9,24.966,22.121,19.839,583771.458,48,1.5725,,NKM,6/22/16
CORCOR03_WM.1.10X,17.534,23.788,17.832,19.207,21.455,583771.458,59,1.5725,,NKM,6/22/16
CORCOR04_WM.1.10X,20.814,18.875,17.079,22.26,17.384,583771.458,51,1.5725,,NKM,6/22/16
FAGGRA01_WM.1.10X,10.57,11.7,11.398,12.623,11.251,583771.458,164,1.5725,,NKM,6/22/16
FAGGRA02_WM.1.10X,14.023,15.528,12.02,9.733,10.342,583771.458,225,1.5725,,NKM,6/22/16
FAGGRA03_WM.1.10X,11.918,10.195,9.172,10.801,14.505,583771.458,154,1.5725,,NKM,6/22/16
FAGGRA04_WM.1.10X,10.811,10.318,9.226,8.144,10.829,583771.458,187,1.5725,,NKM,6/22/16
FRAAME01_WM.1.10X,19.21,19.974,16.792,15.965,21.32,583771.458,79,1.5725,,NKM,6/22/16
FRAAME02_WM.3.10X,17.211,18.663,19.839,20.122,18.486,583771.458,149,1.5725,,NKM,6/23/16
FRAAME03_WM.2.10X,22.933,18.354,20.528,18.079,23.89,583771.458,104,1.5725,,NKM,6/23/16
FRAAME04_WM.3.10X,17.5,18.324,17.299,19.27,18.719,583771.458,118,1.5725,,NKM,6/23/16
HAMVIR01_WM.3.10X,17.043,20.454,19.59,17.419,20.193,583771.458,44,1.5725,,NKM,6/23/16
HAMVIR02_WM.1.10X,16.647,18.28,17.43,18.63,18.169,583771.458,55,1.5725,,NKM,6/23/16
HAMVIR03_WM.1.10X,20.193,16.659,17.899,20.352,18.213,583771.458,142,1.5725,,NKM,6/23/16
HAMVIR04_WM.3.10X,18.354,18.046,17.5,15.71,16.9,583771.458,117,1.5725,,NKM,6/23/16
ILEMUC01_WM.1.10X,14.124,12.286,13.658,12.269,15.841,583771.458,166,1.5725,,NKM,6/23/2016
ILEMUC02_WM.3.10X,13.164,15.825,13.99,15.315,12.798,583771.458,175,1.5725,,NKM,6/23/16
ILEMUC03_WM.1.10X,15.911,11.726,13.415,12.659,11.486,583771.458,198,1.5725,,NKM,6/23/16
ILEMUC04_WM.2.10X,16.088,11.726,12.526,10.627,12.368,583771.458,242,1.5725,,NKM,6/23/16
KALANG04_WM.1.10X,11.54,11.255,13.605,9.831,11.719,585632.274,345,1.57,,NKM,6/23/16
KALANG05_WM.1.10X,15.406,13.875,12.897,11.037,15.34,585632.274,424,1.57,,NKM,6/23/16
KALANG06_WM.2.10X,12.424,14.91,12.897,12.715,15.373,585632.274,334,1.57,,NKM,6/23/16
KALANG07_WM.1.10X,10.981,12.367,11.801,10.629,12.306,585632.274,323,1.57,,NKM,6/23/16
LONCAN01_WM.1.10X #1,18.488,19.367,18.463,19.301,17.62,585632.274,36,1.57,,NKM,6/23/16
MYRGAL01_WM.1.10X,17.854,20.118,18.404,17.553,18.517,587504.905,74,1.5675,,NKM,6/23/16
MYRGAL02_WM.1.10X,22.295,22.755,21.252,24.541,23.976,585632.274,75,1.57,,NKM,6/23/16
MYRGAL03_WM.2.10X,16.954,19.768,18.529,19.119,19.755,585632.274,91,1.57,,NKM,6/23/16
MYRGAL06_WM.1.10X,19.427,19.143,20.167,23.185,19.24,585632.274,72,1.57,,NKM,6/23/16
POPGRA01_WM.2.10X,13.709,16.038,14.612,12.404,12.289,585632.274,252,1.57,,NKM,6/23/16
POPTRE01_WM.1.10X,27.098,28.74,27.294,27.809,27.957,585632.274,61,1.57,,NKM,6/23/16
POPTRE02_WM.2.10X,23.073,20.312,23.437,25.354,24.531,585632.274,51,1.57,,NKM,6/23/16
POPTRE03_WM.2.10X #2,20.944,22.674,17.948,23.698,21.665,585632.274,93,1.57,,NKM,6/23/16
POPTRE04_WM.1.10X #1,23.646,21.423,22.247,24.074,24.873,585632.274,73,1.57,,NKM,6/23/16
PRUPEN01_WM.1.10X,18.378,19.458,21.302,19.871,16.255,585632.274,143,1.57,,NKM,6/23/16
PRUPEN02_WM.1.10X,20.054,22.994,25.735,18.309,26.548,585632.274,130,1.57,,NKM,6/23/16
PRUPEN03_WM.3.10X,19.119,20.422,14.419,15.1,20.043,585632.274,158,1.57,,NKM,6/23/16
PRUPEN04_WM.2.10X,18.108,19.575,23.266,18.819,20.285,585632.274,140,1.57,,NKM,6/23/16
QUERUB01_WM.1.10X,15.84,17.43,16.265,17.014,16.464,587504.905,140,1.5675,,NKM,6/27/16
QUERUB02_WM.1.10X,15.264,15.747,14.527,15.023,17.874,587504.905,198,1.5675,,NKM,6/27/16
QUERUB03_WM.2.10X,15.555,15.154,18.437,14.368,15.695,587504.905,295,1.5675,,NKM,6/27/16
QUERUB04_WM.3.10X,15.114,16.906,16.909,15.782,16.152,587504.905,157,1.5675,,NKM,6/27/16
RHAFRA01_WM.2.10X,14.759,14.354,11.237,13.627,12.918,587504.905,129,1.5675,,NKM,6/27/16
RHOPRI01_WM.1.10X,13.541,12.747,9.924,12.213,15.208,587504.905,46,1.5675,Lots of blurry areas,NKM,6/27/16
RHOPRI02_WM.2.10X,16.293,14.663,12.226,13.541,15.087,587504.905,92,1.5675,Blurry and some dark water drops,NKM,6/27/16
RHOPRI03_WM.1.10X,11.359,13.627,13.401,13.152,11.763,587504.905,82,1.5675,Blurry and unclear in many places,NKM,6/27/16
RHOPRI04_WM.1.10X,16.715,12.51,15.535,14.694,10.831,587504.905,107,1.5675,,NKM,6/27/16
SPIALB01_WM.1.10X,12.271,12.424,13.152,14.435,15.154,587504.905,326,1.5675,,NKM,6/27/16
SPIALB02_WM.1.10X,13.31,14.842,14.746,13.094,14.158,587504.905,337,1.5675,,NKM,6/27/16
SPIALB03_WM.1.10X,17.237,14.579,14.548,16.12,16.712,587504.905,419,1.5675,,NKM,6/27/16
SPIALB05_WM.1.10X,11.523,11.554,13.355,13.016,12.703,587504.905,312,1.5675,,NKM,6/27/16
ULMANE01_WM.1.10X,24.186,22.157,22.019,24.412,25.141,587504.905,145,1.5675,,NKM,6/27/16
ULMANE02_WM.3.10X,24.451,24.318,23.701,22.331,21.677,587504.905,145,1.5675,,NKM,6/27/16
ULMANE03_WM.1.10X,25.536,20.795,22.648,22.123,22.728,587504.905,75,1.5675,,NKM,6/27/16
ULMANE05_WM.3.10X,24.251,27.44,26.074,22.212,22.485,587504.905,174,1.5675,,NKM,6/27/16
VACMYR02_WM.1.10X,11.054,12.566,14.995,14.158,10.794,587504.905,136,1.5675,,NKM,6/27/16
VACMYR03_WM.2.10X,13.458,12.534,9.894,11.219,9.785,587504.905,159,1.5675,,NKM,6/27/16
VACMYR05_WM.2.10X,11.91,13.016,13.571,12.763,12.542,587504.905,176,1.5675,,NKM,6/27/16
VACMYR07_WM.1.10X,11.412,12.759,13.39,11.763,11.164,587504.905,178,1.5675,,NKM,6/27/16
VIBCAS01_WM.2.10X,23.71,27.265,31.581,31.288,32.911,587504.905,33,1.5675,,NKM,6/27/16
VIBCAS02_WM.2.10X,33.444,32.985,28.065,32.128,31.923,587504.905,40,1.5675,,NKM,6/27/16
VIBCAS03_WM.1.10X,35.898,39.021,33.795,31.477,33.813,587504.905,46,1.5675,,NKM,6/27/16
VIBCAS04_WM.1.10X,32.757,32.6,35.481,35.29,31.34,587504.905,67,1.5675,,NKM,6/27/16
VIBLAN02_WM.2.10X,23.046,28.007,22.34,22.989,27.434,587504.905,43,1.5675,,NKM,6/27/16
VIBLAN03_WM.3.10X,25.994,23.693,25.068,25.568,24.694,587504.905,35,1.5675,,NKM,6/27/16
VIBLAN04_WM.1.10X,20.88,28.31,30.47,27.254,27.793,587504.905,31,1.5675,,NKM,6/27/16
VIBLAN05_WM.1.10X,22.118,26.391,27.126,27.817,30.532,587504.905,24,1.5675,,NKM,6/27/16
VIBLAN09_HF.1.10X,23.934,21.51,26.295,24.141,26.639,585632.274,43,1.570002,,AMK,7/5/16
VIBLAN10_HF.1.10X,23.08,20.762,19.755,21.661,21.404,585632.274,30,1.570002,,AMK,7/5/16
VIBLAN11_HF.1.10X,23.511,23.073,24.071,24.965,26.85,585632.274,79,1.570002,blurry right side of image,AMK,7/5/16
VIBLAW01_WM.2.10X,18.887,26.816,24.572,27.714,24.555,585632.274,39,1.570002,,AMK,7/5/16
ACEPEN01_HF.1.10X,12.785,16.362,14.902,12.947,14.871,598908.456,184,1.5525,all edges blurry,NKM,7/7/16
ACEPEN02_HF.1.10X,11.986,13.694,12.886,11.825,12.761,598908.456,166,1.5525,,NKM,7/7/16
ACEPEN03_HF.1.10X,14.031,14.649,13.83,11.951,12.675,598908.456,100,1.5525,poor contrast,NKM,7/7/16
ACEPEN04_HF.1.10X,13.942,15.543,13.488,13.546,12.688,598908.456,336,1.5525,,NKM,7/7/16
ACEPEN05_SH.1.10X,19.513,11.536,13.991,15.812,18.231,585632.274,286,1.57,,AMK,7/7/16
ACEPEN06_SH.1.10X,13.131,17.271,12.897,15.373,14.972,585632.274,207,1.57,,AMK,7/7/16
ACEPEN07_SH.1.10X,13.605,11.505,14.927,9.12,10.819,585632.274,200,1.57,,AMK,7/7/16
ACEPEN08_SH.1.10X,5.732,11.483,9.501,9.236,11.937,585632.274,243,1.57,,AMK,7/7/16
ACERUB05_SH.1.10X,12.802,13.267,13.852,13.609,13.419,583771.458,236,1.5725,upper right corner blurry,AMK,7/8/16
ACERUB06_SH.1.10X,15.348,20.528,14.198,14.64,15.295,583771.458,60,1.5725,stomata are very difficult to see because of poor coloration/contrast,AMK,7/8/16
ACERUB07_SH.1.10X,14.291,18.088,15.528,12.974,11.486,583771.458,100,1.5725,,AMK,7/8/16
ACERUB09_SH.1.10X,12.719,13.037,13.654,13.052,15.632,583771.458,22,1.5725,,AMK,7/8/16
ACERUB11_HF.1.10X,16.984,19.778,14.791,15.109,13.717,583771.458,50,1.5725,,AMK,7/8/16
ACERUB13_HF.1.10X,14.435,19.017,16.088,12.384,14.904,583771.458,32,1.5725,,AMK,7/8/16
ACERUB14_HF.1.10X,14.077,20.962,17.369,17.488,17.669,583771.458,102,1.5725,,AMK,7/8/16
ACERUB15_HF.1.10X,14.463,16.368,14.181,16.078,16.415,583771.458,115,1.5725,,AMK,7/8/16
ACESAC05_SH.1.10X,10.801,10.175,9.795,7.45,8.84,583771.458,140,1.5725,,AMK,7/8/16
ACESAC06_SH.1.10X,11.074,8.267,8.909,8.65,9.038,583771.458,99,1.5725,,AMK,7/8/16
ACESAC07_SH.1.10X,10.801,11.952,9.728,11.948,10.415,583771.458,195,1.5725,,AMK,7/8/16
ACESAC09_SH.1.10X,10.1,10.254,10.684,10.357,13.889,583771.458,139,1.5725,,AMK,7/8/16
ALNINC01_HF.1.10X,22.484,30.005,30.025,26.988,30.462,583771.458,89,1.5725,,AMK,7/8/16
ALNINC01_SH.1.10X,12.232,17.877,11.242,16.729,11.661,583771.458,29,1.5725,,AMK,7/8/16
ALNINC02_HF.1.10X,18.149,22.258,22.674,17.669,21.389,583771.458,67,1.5725,left side of image blurry,AMK,7/8/16
ALNINC02_SH.1.10X,12.47,19.123,18.194,17.738,21.615,583771.458,18,1.5725,,AMK,7/8/16
ALNINC04_HF.1.10X,16.864,18.524,14.948,20.412,14.713,583771.458,35,1.5725,upper right corner blurry,AMK,7/8/16
ALNINC04_SH.1.10X,21.389,20.135,20.548,15.384,24.336,583771.458,19,1.5725,,AMK,7/8/16
ALNINC05_HF.1.10X,22.905,26.764,22.522,21.342,20.342,583771.458,39,1.5725,,AMK,7/8/16
ALNINC05_SH.1.10X,18.771,19.521,16.266,19.315,22.341,583771.458,35,1.5725,,AMK,7/8/16
AMECAN01_HF.1.10X,23.632,26.665,23.428,21.923,26.183,583771.458,37,1.5725,,AMK,7/8/16
AMECAN01_SH.1.10X,27.729,23.607,28.263,25.143,24.615,583771.458,79,1.5725,,AMK,7/8/16
AMECAN02_SH.1.10X,22.144,30.005,25.248,30.888,28.263,583771.458,60,1.5725,,AMK,7/8/16
AMECAN03_SH.1.10X,24.539,16.213,21.495,25.54,26.122,583771.458,65,1.5725,,AMK,7/8/16
AMECAN04_HF.1.10X,26.591,22.233,30.525,24.877,29.128,583771.458,28,1.5725,,AMK,7/8/16
AMECAN04_SH.1.10X,24.033,26.847,26.023,22.905,24.334,583771.458,53,1.5725,,AMK,7/8/16
AMECAN05_HF.1.10X,25.564,24.468,26.45,25.039,23.89,583771.458,37,1.5725,,AMK,7/8/16
AMECAN15_HF.1.10X,22.849,24.872,21.807,23.378,22.851,600840.216,32,1.55,,AMK,7/8/16
AMELAE02_HF.1.10X,32.176,32.169,28.825,26.968,27.648,600840.216,41,1.55,,AMK,7/8/16
AMELAE11_HF.1.10X,28.129,30.604,28.168,26.383,26.432,600840.216,26,1.55,,AMK,7/8/16
AMELAE12_HF.1.10X,28.695,31.425,31.752,35.007,26.256,600840.216,26,1.55,,AMK,7/8/16
AMELAE13_HF.1.10X,25.306,30.688,25.369,25.039,25.402,600840.216,38,1.55,,AMK,7/8/16
AROMEL02_HF.1.10X,17.327,20.768,17.601,18.768,18.489,600840.216,41,1.55,image has many artifacts,AMK,7/8/16
AROMEL03_HF.1.10X,21.75,22.507,22.049,23.262,22.035,600840.216,49,1.55,,AMK,7/8/16
AROMEL06_HF.1.10X,19.209,19.595,20.415,16.765,21.497,600840.216,60,1.55,,AMK,7/8/16
AROMEL08_HF.1.10X,13.367,13.552,18.934,18.362,28.659,600840.216,49,1.55,,AMK,7/8/16
AROMEL11_HF.1.10X,25.302,23.978,22.985,24.864,25.394,600840.216,53,1.55,,AMK,7/8/16
BETALL01_SH.1.10X,18.754,23.949,18.525,25.969,26.143,600840.216,43,1.55,,AMK,7/8/16
BETALL02_SH.1.10X,21.361,20.065,23.522,18.768,17.648,600840.216,80,1.55,,AMK,7/8/16
BETALL03_SH.1.10X,20.504,18.35,16.706,20.587,21.699,600840.216,38,1.55,,AMK,7/8/16
BETALL04_SH.1.10X,20.042,21.446,16.972,19.098,20.01,600840.216,58,1.55,,AMK,7/8/16
BETLEN04_HF.1.10X,14.401,12.211,16.777,16.731,13.548,600840.216,65,1.55,,AMK,7/8/16
BETLEN05_HF.1.10X,13.552,11.896,13.931,12.284,12.296,600840.216,56,1.55,,AMK,7/8/16
BETLEN06_HF.1.10X,15.731,13.694,12.351,14.426,16.455,600840.216,80,1.55,,AMK,7/8/16
BETLEN08_HF.1.10X,14.556,14.853,13.961,14.444,16.388,600840.216,49,1.55,,AMK,7/8/16
BETPAP02_SH.1.10X,24.586,26.852,29.607,22.958,27.467,600840.216,55,1.55,,AMK,7/8/16
BETPAP04_SH.1.10X,20.811,19.953,19.13,17.024,19.951,600840.216,55,1.55,,AMK,7/8/16
BETPAP06_HF.1.10X,21.329,22.193,22.267,23.925,20.811,600840.216,57,1.55,,AMK,7/8/16
BETPAP06_SH.1.10X,28.244,37.018,29.1,22.389,26.28,600840.216,66,1.55,,AMK,7/8/16
BETPAP07_SH.1.10X,25.557,24.408,29.291,34.218,29.684,600840.216,47,1.55,,AMK,7/8/16
BETPAP08_HF.1.10X,28.912,28.433,26.325,25.271,24.416,600840.216,41,1.55,,AMK,7/8/16
BETPAP09_HF.1.10X,29.147,23.369,32.142,29.141,25.843,600840.216,44,1.55,,AMK,7/8/16
BETPAP13_HF.1.10X,29.498,27.305,33.762,28.343,21.536,600840.216,42,1.55,,AMK,7/8/16
CORALT01_SH.1.10X,18.308,14.487,17.765,13.598,18.367,600840.216,112,1.55,,AMK,7/8/16
CORALT02_HF.1.10X,14.691,20.415,17.627,18.194,21.441,600840.216,33,1.55,,AMK,7/8/16
CORALT02_SH.1.10X,22.657,18.545,18.637,20.818,22.127,600840.216,32,1.55,,AMK,7/8/16
CORALT03_SH.1.10X,18.887,19.163,16.653,16.765,20.93,600840.216,91,1.55,,AMK,7/8/16
CORALT04_SH.1.10X,19.807,20.826,18.62,18.254,19.422,600840.216,110,1.55,,AMK,7/8/16
CORALT10_HF.1.10X,16.388,18.056,15.202,18.09,16.129,600840.216,87,1.55,,AMK,7/8/16
CORALT11_HF.1.10X,15.301,16.353,18.843,17.458,19.209,600840.216,70,1.55,,AMK,7/8/16
CORALT12_HF.1.10X,18.432,15.836,16.824,17.036,16.606,600840.216,55,1.55,,AMK,7/8/16
CORCOR01_HF.1.10X,15.298,18.076,23.066,18.71,17.033,600840.216,45,1.55,,AMK,7/8/16
CORCOR01_SH.1.10X,19.72,19.867,19.16,16.019,19.043,600840.216,49,1.55,,AMK,7/8/16
CORCOR05_SH.1.10X,14.605,16.524,17.06,15.915,18.093,600840.216,24,1.55,,AMK,7/8/16
CORCOR06_HF.1.10X,18.511,20.117,18.975,18.09,20.386,600840.216,33,1.55,,AMK,7/8/16
CORCOR07_HF.1.10X,18.248,16.553,18.81,16.388,16.774,600840.216,67,1.55,,AMK,7/11/16
CORCOR07_SH.1.10X,22.073,23.282,15.42,19.738,22.657,600840.216,49,1.55,,AMK,7/11/16
CORCOR08_HF.1.10X,20.137,19.163,17.242,17.636,19.454,600840.216,61,1.55,relatively large artifact at the bottom of the image,AMK,7/11/16
CORCOR09_SH.1.10X,18.39,19.638,20.21,21.966,19.571,600840.216,37,1.55,,AMK,7/11/16
FAGGRA02_HF.1.10X,6.858,7.875,7.426,6.061,6.904,600840.216,245,1.55,,AMK,7/11/16
FAGGRA02_SH.1.10X,8.589,7.531,8.686,7.531,8.734,600840.216,220,1.55,,AMK,7/11/16
FAGGRA03_HF.1.10X,7.482,8.467,7.875,8.467,8.084,600840.216,262,1.55,,AMK,7/11/16
FAGGRA04_SH.1.10X,8.716,8.899,8.775,7.126,7.141,600840.216,207,1.55,,AMK,7/11/16
FAGGRA05_SH.1.10X,6.858,7.278,7.934,8.325,6.121,600840.216,178,1.55,,AMK,7/11/16
FAGGRA06_SH.1.10X,9.752,9.237,8.412,7.749,8.775,600840.216,157,1.55,,AMK,7/11/16
FAGGRA08_HF.1.10X,8.986,8.262,8.294,8.656,9.124,600840.216,276,1.55,,AMK,7/11/16
FAGGRA09_HF.1.10X,7.98,7.695,8.325,8.013,8.387,600840.216,238,1.55,,AMK,7/11/16
FRAAME05_HF.1.10X,17.609,19.166,19.062,18.534,18.879,600840.216,62,1.55,,AMK,7/11/16
FRAAME06_HF.1.10X,20.948,13.644,14.8,19.304,16.839,600840.216,68,1.55,,AMK,7/11/16
FRAAME09_HF.1.10X,16.129,17.342,16.426,18.646,18.39,600840.216,53,1.55,,AMK,7/11/16
FRAAME09_HF.2.10X,19.94,15.934,18.168,17.926,16.016,600840.216,50,1.55,,AMK,7/11/16
FRANIG02_SH.1.10X,16.502,12.597,16.913,17.671,15.185,600840.216,228,1.55,,AMK,7/11/16
FRANIG04_HF.1.10X,14.87,14.005,17.765,15.501,16.765,600840.216,67,1.55,stomata were very difficult to see (bad contrast),AMK,7/11/16
FRANIG06_SH.1.10X,19.106,18.362,17.23,17.206,18.39,600840.216,165,1.55,,AMK,7/11/16
FRANIG07_HF.1.10X,14.839,16.48,19.282,17.541,14.645,600840.216,50,1.55,,AMK,7/11/16
FRANIG08_HF.1.10X,15.74,14.588,13.417,19.951,13.429,600840.216,85,1.55,,AMK,7/11/16
FRANIG08_SH.1.10X,16.929,16.935,18.637,17.485,17.045,600840.216,202,1.55,,AMK,7/11/16
FRANIG09_SH.1.10X,16.388,14.577,17.173,14.804,20.488,600840.216,182,1.55,,AMK,7/11/16
FRANIG10_HF.1.10X,14.573,12.903,12.41,13.23,13.905,600840.216,157,1.55,,AMK,7/11/16
HAMVIR07_HF.1.10X,19.398,18.999,21.446,23.228,22.638,600840.216,60,1.55,,AMK,7/11/16
HAMVIR08_HF.1.10X,17.917,22.089,16.53,16.978,17.173,600840.216,50,1.55,,AMK,7/11/16
HAMVIR09_HF.1.10X,18.845,14.712,17.446,21.227,17.082,600840.216,59,1.55,,AMK,7/11/16
HAMVIR10_HF.1.10X,14.005,15.938,17.541,16.448,18.39,600840.216,62,1.55,,AMK,7/11/16
ILEMUC01_HF.1.10X,24.525,18.934,14.318,19.166,24.286,600840.216,204,1.55,,AMK,7/11/16
ILEMUC01_SH.1.10X,14.605,14.208,17.541,12.684,13.686,600840.216,204,1.55,,AMK,7/11/16
ILEMUC02_HF.1.10X,11.653,13.004,12.258,14.005,12.597,600840.216,280,1.55,,AMK,7/11/16
ILEMUC03_HF.1.10X,18.859,16.978,17.245,23.246,21.533,600840.216,223,1.55,,AMK,7/11/16
ILEMUC03_SH.1.10X,16.025,17.269,15.678,16.524,15.967,600840.216,249,1.55,,AMK,7/11/16
ILEMUC04_SH.1.10X,14.138,14.005,17.745,14.183,16.071,600840.216,346,1.55,,AMK,7/11/16
ILEMUC05_HF.1.10X,15.767,24.092,16.999,18.214,19.163,600840.216,226,1.55,,AMK,7/11/16
ILEMUC05_SH.1.10X,17.148,16.765,19.677,16.045,15.335,600840.216,198,1.55,,AMK,7/11/16
KALANG01_SH.1.10X,11.147,12.818,11.486,11.522,10.665,583771.458,461,1.5725,parts of image too blurry,AMK,7/11/16
KALANG01_SH.2.10X,15.593,13.095,13.583,15.706,13.852,583771.458,212,1.5725,,AMK,7/11/16
KALANG01_SH.3.10X,10.982,11.129,10.57,11.242,10.219,583771.458,448,1.5725,,AMK,7/11/16
KALANG01_SH.4.10X,11.106,15.266,12.547,15.642,10.352,583771.458,65,1.5725,parts of image too blurry,AMK,7/11/16
KALANG05_HF.1.10X,17.375,16.583,15.927,15.528,16.451,583771.458,195,1.5725,,AMK,7/11/16
KALANG06_HF.1.10X,9.877,9.27,8.346,9.049,8.679,583771.458,292,1.5725,,AMK,7/11/16
KALANG07_HF.1.10X,7.11,7.11,7.258,8.175,6.685,583771.458,175,1.5725,upper right corner blurry,AMK,7/11/16
KALANG11_HF.1.10X,14.904,14.501,13.672,14.023,13.654,583771.458,287,1.5725,,AMK,7/11/16
