Individual,Site,Species,Latitude,Longitude,Elevation,Leaf area,Fresh mass,Dry mass,Stem volume,Stem mass,Height,Distance,Bottom angle,Top Angle,Bottom m,Top m,DBH,DBH 2,DBH 3,DBH 4,DBH 5,Summer 2015 notes,Summer 2015 Route,Summer 2015 Date Sampled,pctN,pctC,Stomatal Length,Stomatal Density
ALNINC08_GR,GR,ALNINC,44.88019796,-71.09827702,454,,,,,,4,,,,,,3.9,,,,,,,,,,,
AMECAN01_GR,GR,AMECAN,44.87926296,-71.10255204,436,240.79,2.26,0.68,0.54,0.29,1.5,,,,,,<1,,,,,,,,2.695843773,46.56253548,,
AMECAN02_GR,GR,AMECAN,44.87928903,-71.10274298,437,257.93,3.18,1.06,0.77,0.44,6.75,,,,,,2.6,2,,,,,,,2.762479611,48.12802292,,
AMECAN03_GR,GR,AMECAN,44.88019302,-71.103725,446,179.89,1.98,0.79,0.88,0.57,4.2,,,,,,2.6,1.6,3.1,2.4,<1,,,,2.186784093,45.29055516,25.1434,99.03825758
AMECAN04_GR,GR,AMECAN,44.88014298,-71.10378502,446,162.143,2.29,0.87,1.23,0.82,7.25,,,,,,3.8,4.4,1.4,,,,,,2.624730139,45.0528267,25.5362,136.6044932
AMECAN05_GR,GR,AMECAN,44.88043701,-71.10377404,444,117.846,1.84,0.75,1.48,0.94,3,,,,,,2.1,1.7,1.2,1.4,"1.7, 1.2",,,,2.533026867,51.32597345,22.9258,138.3120494
AMECAN06_GR,GR,AMECAN,44.88052201,-71.10373003,444,172.148,2.4,1.03,1.13,0.65,4.2,,,,,,2.2,1,2.3,2.2,"1.2, 1.2, 1.5, 1.5, 4, 2.0",,,,2.213919531,45.45006815,25.1528,105.8684822
AMECAN07_GR,GR,AMECAN,,,,,,,,,4,,,,,,1.9,1.3,1.5,"<1, <1, <1, <1, <1, <1",,,,,,,,
AMELAE01_GR,GR,AMELAE,44.88035001,-71.10001702,425,264.908,2.81,0.97,0.83,0.47,3.75,,,,,,2.1,1,,,,,,,2.22633831,36.11331249,24.7942,119.5289316
AMELAE02_GR,GR,AMELAE,44.88041304,-71.10376096,445,160.917,2.06,0.81,1.01,0.66,5,,,,,,2.2,1.8,1.8,2.7,"1.4, 1.7, 2.5, 1.5, 1.5, 2.2",,,,2.459104125,45.30378025,23.6666,175.878285
AMELAE03_GR,GR,AMELAE,44.88074496,-71.10272597,441,178.636,2.33,0.91,0.75,0.47,3.5,,,,,,1.6,2.1,1.6,,,,,,2.574427236,46.00323368,23.4684,148.5573864
AMELAE04_GR,GR,AMELAE,44.87963797,-71.104142,443,255.363,2.78,0.93,0.34,0.19,2.1,,,,,,<1,,,,,,,,2.360083343,42.44546104,29.2212,112.6987069
AMELAE05_GR,GR,AMELAE,44.88031497,-71.10372199,450,180.567,2.22,0.84,0.46,0.25,1.5,,,,,,<1,,,,,,,,2.30690633,45.15327847,,
AMELAE06_GR,GR,AMELAE,44.88039996,-71.10365401,446,148.215,2.35,0.88,1.03,0.72,4,,,,,,2.4,2,1.8,2.2,,many stems,,,2.377611156,45.99348304,,
BETALL01_GR,GR,BETALL,44.92353198,-71.09133999,429,322.447,3.68,1,1.15,0.65,14,,,,-3.25,7.5,9.9,,,,,,,,2.999130302,45.03593577,,
BETALL02_GR,GR,BETALL,44.92352201,-71.09132297,428,281.246,2.61,0.64,3.03,1.55,14,,,,-2.25,8,8.5,,,,,,,,3.242944941,44.12313161,,
BETALL03_GR,GR,BETALL,44.92358998,-71.09138399,426,286.151,2.96,0.72,2.18,1.31,14,,,,-0.25,10.5,14.5,,,,,,,,3.134091545,44.29153572,18.7902,99.03825758
BETALL04_GR,GR,BETALL,44.92367498,-71.09191398,445,307.945,3.24,0.72,0.75,0.4,10,,,,-1,9,6.6,,,,,,,,2.964087256,43.64195973,,
BETALL05_GR,GR,BETALL,44.92381596,-71.09251798,425,260.593,2.97,0.78,4.06,2.4,25,,,,-1.5,19,34.4,,,,,,,,3.057693795,44.01153387,,
BETALL06_GR,GR,BETALL,44.92413204,-71.09307697,417,289.867,4.59,1.34,1.52,0.8,19,,,,-1.5,17,35.6,,,,,,,,2.829558801,45.50353661,,
BETALL07_GR,GR,BETALL,44.92437101,-71.09319398,415,261.5,3.17,0.96,1.5,0.83,16,,,,-1.25,14.5,19.5,23.1,,,,,,,2.809735046,45.53488794,17.8276,116.1138192
BETALL08_GR,GR,BETALL,44.92426297,-71.09446996,419,273.223,3.43,1.06,2.02,1.09,19,,,,-0.75,18,13.4,14.4,10,,,by sign to stoddard cabin,,,2.426918995,44.35929295,,
BETALL09_GR,GR,BETALL,44.92474501,-71.09601198,425,311.477,3.86,1.13,1.77,0.89,12,,,,-1,7,9.8,,,,,,,,2.817218413,44.67843044,,
BETALL10_GR,GR,BETALL,44.88038697,-71.09877499,452,,,,,,22,,,,,,30.2,,,,,,,,,,,
BETALL11_GR,GR,BETALL,44.89885398,-71.07404502,435,295.156,3.13,0.74,1.37,0.71,9,,,,-1.5,5.75,4.7,4.8,,,,,,,1.89087033,43.52727911,19.0486,90.50047675
BETALL12_GR,GR,BETALL,44.92494903,-71.09613201,420,307.95,4.38,1.23,0.91,0.54,20,,,,-1.75,17.5,29.5,,,,,,,,3.014989926,44.59568178,,
BETALL14_GR,GR,BETALL,,,,,,,,,,,,,,,39.9,,,,,,,,,,,
BETPAP01_GR,GR,BETPAP,44.87432996,-71.05300603,389,236.692,3.86,1.1,2.14,0.86,26,,,,-1.75,24,40.2,,,,,,,,2.66629799,46.30375838,,
BETPAP02_GR,GR,BETPAP,44.92313703,-71.09010902,428,205.318,2.12,0.61,1.91,1.04,15,,,,-1.25,11,16.9,,,,,,,,2.760167932,44.94544868,16.9928,80.25513976
BETPAP03_GR,GR,BETPAP,44.87536102,-71.05296797,391,332.789,6.78,2.09,2.89,1.58,20,,,,-1.75,17.75,19.6,15.7,,,,directly across from cabin,,,2.674745338,45.85040727,,
BETPAP04_GR,GR,BETPAP,44.88006201,-71.09989003,452,293.454,3.7,1.32,1.97,1.03,10,,,,-2,8,12.5,5.5,15,14.9,"16.1, 10.0, 9.8",,,,2.390119923,47.08849772,20.996,99.03825758
BETPAP05_GR,GR,BETPAP,44.87937201,-71.10092402,446,220.294,3.57,1.48,1.83,0.96,6,,,,-2.25,3.75,15.8,11,,,,,,,1.782761662,46.33240633,20.3676,158.8027234
BETPAP06_GR,GR,BETPAP,44.89795603,-71.07741698,422,288.665,3.95,1.34,2.16,1.16,10,,,,-1.5,8.5,1.5,2.6,2.6,10,,,,,2.532924031,45.62559295,19.9816,129.7742686
BETPOP01_GR,GR,BETPOP,44.88022897,-71.10380396,433,,,,,,3.5,,,,,,10,1.7,,,,,,,,,,
BETPOP02_GR,GR,BETPOP,,,,,,,,,4.1,,,,,,3.1,,,,,,,,,,,
BETPOP03_GR,GR,BETPOP,,,,,,,,,9,,,,-1.5,7.5,7.9,,,,,,,,,,,
BETPOP04_GR,GR,BETPOP,,,,,,,,,6.75,,,,,,8,2.1,7,6.1,6.2,"3.2, 3.1, 6.4",,,,,,
CORALT01_GR,GR,CORALT,44.92369702,-71.09207701,438,269.42,2.47,0.61,0.65,0.32,1.1,,,,,,<1,,,,,,,,2.927238046,42.53679219,15.7378,121.2364877
CORALT02_GR,GR,CORALT,44.924643,-71.09522299,419,,,,,,0.5,,,,,,<1,,,,,tiny,,,3.056914807,43.90706717,,
CORALT03_GR,GR,CORALT,44.92461501,-71.09537998,422,123.289,1.57,0.57,0.23,0.13,0.6,,,,,,<1,,,,,,,,1.613786168,45.22543369,,
CORALT04_GR,GR,CORALT,44.92540902,-71.09723599,429,172.417,1.89,0.69,0.6,0.36,0.6,,,,,,<1,,,,,,,,1.687226276,44.08997674,18.3132,99.03825758
CORALT05_GR,GR,CORALT,44.924413,-71.09464003,433,197.955,2.4,0.72,0.46,0.18,1,,,,,,<1,<1,<1,<1,<1,,,,2.139493266,44.14586103,17.794,145.142274
CORALT06_GR,GR,CORALT,44.92439004,-71.09467397,413,194.953,1.98,0.52,2.66,1.37,1,,,,,,<1,,,,,"New. L of path, near bend",,,3.044463061,44.86676743,,
CORALT07_GR,GR,CORALT,44.889323,-71.07332502,467,152.732,1.43,0.38,0.33,0.2,1.2,,,,,,<1,<1,<1,<1,,,,,2.552481659,42.25014883,17.3312,150.2649425
CORALT08_GR,GR,CORALT,,,,,,,,,1.7,,,,,,<1,,,,,,,,,,,
CORALT09_GR,GR,CORALT,,,,,,,,,,,,,,,6,4.7,<1,<1,<1,,,,,,,
CORCOR01_GR,GR,CORCOR,44.92354799,-71.09126204,453,176.271,1.49,0.39,0.55,0.32,1.5,,,,,,1,,,,,"many branches, L of trail",,,,,19.2244,73.4249151
CORCOR02_GR,GR,CORCOR,44.92361002,-71.091659,446,345.893,2.77,0.78,1.39,0.7,2,,,,,,1.4,1.2,"<1, <1",,,L or road,,,,,,
CORCOR03_GR,GR,CORCOR,44.92405904,-71.09221799,426,292.649,2.68,0.88,0.66,0.29,1.3,,,,,,<1,,,,,R hand bank,,,2.135351589,42.76034131,,
CORCOR04_GR,GR,CORCOR,44.923852,-71.09312802,416,193.647,2.1,0.65,0.89,0.43,1.9,,,,,,1.6,1.3,1,,,5 stems,,,2.775898664,44.33649069,,
CORCOR05_GR,GR,CORCOR,44.92398402,-71.09307798,419,240.207,2.43,0.78,0.66,0.34,5,,,,,,3.8,,,,,10' from fraame01,,,2.768129024,43.29130643,17.5518,61.47202195
CORCOR06_GR,GR,CORCOR,44.92311196,-71.09042603,433,209.074,1.89,0.61,1.07,0.53,2,,,,,,1,1,<1,<1,<1,together with lots of ribgla,,,2.934393145,43.47857731,20.5064,93.91558909
CORCOR07_GR,GR,CORCOR,44.92305203,-71.09045503,436,199.274,1.66,0.58,0.69,0.34,4,,,,,,1.2,1.3,2.1,1,1.4,magnificent,,,2.899770826,43.59718255,14.7066,80.25513976
CORCOR07-2_GR,GR,CORCOR,,,,,2.08,0.7,1.01,0.48,,,,,,,,,,,,Second corcor07,,,2.892981052,43.77081612,,
CORCOR08_GR,GR,CORCOR,44.88031598,-71.09866099,448,,,,,,4,,,,,,1.8,2.8,,,,,,,,,,
DIELON01_GR,GR,DIELON,44.92405199,-71.09222897,429,,,,,,0.5,,,,,,<1,,,,,L bank of path,,,,,,
DIELON02_GR,GR,DIELON,44.92407203,-71.092291,424,,,,,,0.3,,,,,,<1,<1,,,,Flagged cornus above,,,,,,
DIELON03_GR,GR,DIELON,44.92403599,-71.09222998,425,,,,,,0.3,,,,,,<1,,,,,below corcor03,,,,,,
DIELON04_GR,GR,DIELON,44.925203,-71.09779799,431,,,,,,0.6,,,,,,<1,<1,,,,,,,,,,
DIELON05_GR,GR,DIELON,44.92526301,-71.09793001,432,,,,,,0.5,,,,,,<1,,,,,,,,,,,
DIELON06_GR,GR,DIELON,44.92516897,-71.09794401,430,,,,,,0.7,,,,,,<1,,,,,,,,,,,
DIELON07_GR,GR,DIELON,44.88033903,-71.09928201,470,,,,,,0.7,,,,,,<1,,,,,,,,,,,
DIELON08_GR,GR,DIELON,44.88021498,-71.09950799,465,,,,,,0.5,,,,,,<1,<1,<1,,,,,,,,,
FAGGRA01_GR,GR,FAGGRA,44.92378403,-71.09216301,430,239.768,1.71,0.65,1.68,1.14,12,,,,-1.25,10.5,13.9,,,,,,,,2.504909157,41.56306822,9.3946,447.3797153
FAGGRA02_GR,GR,FAGGRA,44.88021799,-71.09986296,448,240.143,1.78,0.64,0.77,0.44,5,,,,,,2.9,,,,,,,,2.198170536,44.54635755,8.1154,413.228592
FAGGRA03_GR,GR,FAGGRA,44.88022302,-71.09980596,446,285.888,2.41,0.93,0.92,0.47,2.5,,,,,,1.2,1.3,1.4,,,,,,2.256051472,45.55725899,8.474,432.0117098
FAGGRA04_GR,GR,FAGGRA,44.88003301,-71.10004703,450,291.581,2.82,1.02,2.27,1.28,5,,,,,,3.3,2.8,1.9,2,,,,,2.300562878,44.80966323,,
FAGGRA05_GR,GR,FAGGRA,44.87942599,-71.100905,444,296.722,2.37,0.89,1.2,0.79,2.2,,,,,,<1,,,,,,,,1.995203502,44.08351935,8.4906,348.3414577
FAGGRA06_GR,GR,FAGGRA,44.89875197,-71.07459697,428,360.022,4.37,1.57,1.88,1,8,,,,-1.5,6.5,10.5,,,,,,,,2.028873831,44.18377652,,
FAGGRA08_GR,GR,FAGGRA,,,,,,,,,6,,,,,,4.8,,,,,,,,,,,
FAGGRA09_GR,GR,FAGGRA,,,,,,,,,,,,,,,29.1,,,,,,,,,,,
FAGGRA10_GR,GR,FAGGRA,,,,,,,,,,,,,,,14.6,11.8,,,,,,,,,,
FAGGRA11_GR,GR,FAGGRA,,,,,,,,,,,,,,,20,,,,,,,,,,,
FRAAME01_GR,GR,FRAAME,44.92396499,-71.09304101,421,,,,,,5,,,,,,2.8,,,,,8' from vibcas01,,,,,,
FRAAME02_GR,GR,FRAAME,44.92363399,-71.09129498,426,159.509,1.83,0.51,1.5,0.69,6,,,,,,3.4,3.6,,,,,,,3.105743923,45.61847479,22.585,134.896937
FRAAME03_GR,GR,FRAAME,44.923636,-71.09139296,425,151.796,1.99,0.49,1.96,0.69,8,,,,,,3.7,,,,,,,,3.024292824,42.65414336,23.3766,93.91558909
FRAAME04_GR,GR,FRAAME,44.88484698,-71.11950897,505,345.667,3.64,0.95,1.24,0.41,3.5,,,,,,1.5,1.75,,,,,,,2.862918245,43.63523556,18.7284,162.2178357
FRAAME04-2?_GR,GR,FRAAME,,,,,2.81,0.54,1.44,0.8,,,,,,,,,,,,,,,,,,
FRAAME05_GR,GR,FRAAME,44.88493902,-71.11943797,505,495.262,5.58,1.45,1.65,0.61,6.5,,,,,,6,,,,,,,,3.198178017,44.40728548,,
FRAAME06_GR,GR,FRAAME,,,,341.268,3.25,0.88,1.67,0.78,11.5,,,,,,5.9,3.7,,,,,,,2.99409551,43.92242815,,
FRANIG01_GR,GR,FRANIG,44.92539796,-71.09773002,429,239.023,2.7,0.54,1.35,0.77,10,,,,,,7.5,,,,,,,,3.459319044,43.69219036,12.7296,245.8880878
FRANIG02_GR,GR,FRANIG,44.92538597,-71.09776698,429,249.372,3.36,0.63,0.87,0.33,9.5,,,,,,5.3,,,,,,,,3.10734722,43.21392312,16.278,169.0480604
FRANIG03_GR,GR,FRANIG,44.92535697,-71.09775902,429,138.669,1.88,0.41,1.5,0.74,10,,,,,,8,,,,,,,,2.963639366,42.55303357,17.3272,237.350307
FRANIG04_GR,GR,FRANIG,44.92534298,-71.09768199,427,194.642,2.26,0.46,1.02,0.49,8,,,,,,4.9,,,,,,,,3.117849221,42.55695384,17.6852,189.5387343
FRANIG05_GR,GR,FRANIG,44.92539503,-71.09791702,431,373.283,6,1.32,2.14,0.81,2.6,,,,,,1.9,,,,,,,,3.524548689,44.00222539,,
FRANIG06_GR,GR,FRANIG,44.92533099,-71.09796002,431,328.635,5.4,1.2,1.47,0.61,2.5,,,,,,1.8,,,,,,,,2.960615043,42.66302549,,
FRANIG07_GR,GR,FRANIG,44.92513997,-71.097799,431,139.506,1.87,0.36,1.65,0.77,12,,,,,,9.6,,,,,,,,3.145113325,43.38087354,,
FRANIG08_GR,GR,FRANIG,44.92508297,-71.09783303,430,300.019,4.13,0.82,1.14,0.48,8,,,,,,4,,,,,,,,3.690365777,43.66790888,,
FRANIG10_GR,GR,FRANIG,,,,,,,,,,,,,,,17.7,16.2,,,,,,,,,,
ILEMUC01_GR,GR,ILEMUC,44.87406802,-71.05300804,390,117.397,2.1,0.68,0.78,0.38,0.4,,,,,,<1,,,,,,,,2.22141857,47.07156073,11.5846,447.3797153
ILEMUC02_GR,GR,ILEMUC,44.88042796,-71.09902896,450,148.653,1.57,0.5,0.93,0.49,1.4,,,,,,1.4,<1,,,,,,,2.563774084,48.50256244,,
ILEMUC03_GR,GR,ILEMUC,44.88036702,-71.09886702,441,115.385,1.3,0.34,0.76,0.46,1.5,,,,,,1.3,,,,,,,,2.744827317,48.02478715,14.934,317.6054467
ILEMUC04_GR,GR,ILEMUC,44.89818804,-71.07653202,422,124.521,1.21,0.34,0.89,0.5,3,,,,,,1.4,1.4,1.7,2,,,,,2.384171816,47.1937465,15.802,264.6712056
ILEMUC05_GR,GR,ILEMUC,44.89822702,-71.076458,421,248.741,2.46,0.62,0.97,0.49,2,,,,,,1.1,1.1,1.2,,,,,,2.784225411,47.61479184,,
ILEMUC06_GR,GR,ILEMUC,44.865968,-71.05163801,381,114.645,1.47,0.53,0.5,0.26,1.8,,,,,,<1,,,,,,,,2.300744599,49.26549051,14.7754,329.5583399
ILEMUC07_GR,GR,ILEMUC,,,,,,,,,1.5,,,,,,<1,,,,,,,,,,,
ILEMUC08_GR,GR,ILEMUC,,,,,,,,,2.3,,,,,,2.125,1,,,,,,,,,,
ILEMUC09_GR,GR,ILEMUC,,,,,,,,,2.2,,,,,,1.3,1.1,,,,,,,,,,
ILEMUC10_GR,GR,ILEMUC,,,,,,,,,2,,,,,,2,,,,,,,,,,,
KALANG01_GR,GR,KALANG,44.87418998,-71.052873,341,28.194,0.48,0.16,0.15,0.09,0.3,,,,,,<1,,,,,,,,1.960507868,50.03195833,,
KALANG02_GR,GR,KALANG,44.87405403,-71.05293998,385,30.248,0.65,0.28,0.23,0.1,0.4,,,,,,<1,,,,,,,,1.288497003,50.04645875,8.8812,575.4464277
KALANG03_GR,GR,KALANG,44.874064,-71.05289396,394,26.337,0.39,0.14,0.37,0.19,0.3,,,,,,<1,,,,,,,,1.611981715,50.40005419,,
KALANG04_GR,GR,KALANG,44.87408596,-71.05287502,396,39.116,0.62,0.22,0.23,0.13,0.4,,,,,,<1,,,,,,,,1.83628489,49.26962141,8.2106,799.1362853
KALANG05_GR,GR,KALANG,,,,37.765,0.58,0.21,0.36,0.19,0.4,,,,,,<1,,,,,,,,1.589575025,50.18866474,8.9358,631.7957811
KALANG06_GR,GR,KALANG,,,,36.599,0.59,0.21,0.36,0.2,0.3,,,,,,<1,,,,,,,,1.590722623,51.26058373,8.897,425.1814851
LONCAN01_GR,GR,LONCAN,44.92511599,-71.09670902,424,72.011,0.68,0.22,0.14,0.08,0.25,,,,,,<1,,,,,"V tiny, sampled anyways",,,1.447947508,43.6082607,15.9142,52.93424112
LONCAN02_GR,GR,LONCAN,44.92519696,-71.09801802,431,80.177,0.74,0.29,0.31,0.18,1.1,,,,,,<1,<1,<1,<1,<1,Green fruit,,,1.232092713,43.50443497,,
LONCAN03_GR,GR,LONCAN,44.925161,-71.09791098,431,139.818,2.02,0.66,0.24,0.09,0.8,,,,,,<1,<1,,,,Green fruit,,,1.289805873,42.43693799,15.4514,64.88713428
LONCAN03_GR,GR,LONCAN,44.880147,-71.09804501,451,139.818,1.38,0.49,0.88,0.46,1,,,,,,<1,,,,,,,,1.289805873,42.43693799,15.4514,64.88713428
LONCAN04_GR,GR,LONCAN,44.87742498,-71.05683303,392,,,,,,0.5,,,,,,<1,,,,,,,,,,,
LONCAN05_GR,GR,LONCAN,44.89759301,-71.07720802,420,141.011,1.22,0.37,0.78,0.42,1,,,,,,<1,<1,<1,,,,,,1.584132212,42.66252149,16.6912,37.56623563
LONCAN06_GR,GR,LONCAN,44.89863697,-71.07388702,425,112.599,1,0.27,0.26,0.14,0.8,,,,,,<1,,,,,,,,1.430718361,41.9150386,,
LONCAN07_GR,GR,LONCAN,44.89877704,-71.07405198,428,120.701,1.16,0.33,0.3,0.22,1.5,,,,,,<1,,,,,Green fruit,,,1.49390071,42.75849936,17.6024,70.00980277
LONCAN08_GR,GR,LONCAN,,,,,,,,,0.75,,,,,,<1,,,,,,,,,,,
