"","stom_leng","stom_dens"
"KALANG01_SH",12.4261,507.90424221117
"KALANG02_GR",8.8812,575.446427667339
"KALANG04_GR",8.2106,799.136285306571
"KALANG04_WM",11.59,589.106876988818
"KALANG05_GR",8.9358,631.795781118443
"KALANG05_HF",16.3728,334.034830459286
"KALANG05_WM",13.711,724.003814038432
"KALANG06_GR",8.897,425.18148513106
"KALANG06_HF",9.0442,500.195746123648
"KALANG06_WM",13.6638,570.323759171784
"KALANG07_HF",7.2676,299.774847848077
"KALANG07_WM",11.6168,551.540641354749
"KALANG11_HF",14.1508,491.630750470846
"LONCAN01_GR",15.9142,52.9342411207344
"LONCAN01_HF",15.9914,34.2599826112088
"LONCAN01_SH",19.9692,54.8159721779341
"LONCAN01_WM",18.6478,61.4720219466593
"LONCAN02_HF",14.2794,53.1029730473736
"LONCAN02_SH",17.6676,58.2419704390549
"LONCAN03_GR",15.4514,64.8871342770293
"LONCAN04_HF",16.5626,51.3899739168132
"LONCAN04_SH",19.8976,51.3899739168132
"LONCAN05_GR",16.6912,37.5662356340696
"LONCAN05_HF",17.0114,58.2419704390549
"LONCAN05_SH",20.1998,42.824978264011
"LONCAN07_GR",17.6024,70.0098027725842
"LYOLIG01_HF",19.2836,133.613932183714
"LYOLIG05_HF",20.907,145.604926097637
"LYOLIG06_HF",21.3978,131.900933053154
"LYOLIG07_HF",19.0984,135.326931314275
"MYRGAL01_GR",20.8026,105.868482241469
"MYRGAL01_SH",22.9804,99.3539495725055
"MYRGAL01_WM",18.4892,125.956395206607
"MYRGAL02_GR",25.3816,80.2551397636941
"MYRGAL02_SH",22.5016,113.057942616989
"MYRGAL02_WM",22.9638,128.066712388874
"MYRGAL03_HF",19.9834,85.649956528022
"MYRGAL03_SH",21.1996,119.909939139231
"MYRGAL03_WM",18.825,155.387611031833
"MYRGAL04_GR",19.0424,107.576038406654
"MYRGAL04_SH",19.2704,46.2509765251319
"MYRGAL05_GR",16.874,129.774268554059
"MYRGAL06_WM",20.2324,122.944043893319
"MYRGAL09_HF",18.8134,70.232964352978
"MYRGAL10_HF",20.185,78.7979600057802
"MYRGAL11_HF",17.2876,70.232964352978
"NYSSYL03_GR",20.5314,109.283594571839
"NYSSYL06_GR",17.4958,85.3778082592491
"NYSSYL08_GR",16.3652,80.2551397636941
"NYSSYL10_GR",15.4448,76.8400274333241
"POPGRA01_SH",14.2326,140.465928705956
"POPGRA01_WM",13.8104,430.304153626615
"POPGRA02_SH",14.6244,303.200846109198
"POPGRA04_SH",15.9532,250.097873061824
"POPGRA05_SH",12.8064,179.864908708846
"POPTRE01_SH",26.78,116.48394087811
"POPTRE01_WM",27.7796,104.160926076284
"POPTRE02_GR",19.663,148.557386371093
"POPTRE02_SH",26.7618,138.752929575396
"POPTRE02_WM",23.3414,87.085364424434
"POPTRE03_GR",20.0518,121.236487728134
"POPTRE03_SH",25.522,152.456922619879
"POPTRE03_WM",21.3858,158.802723362203
"POPTRE04_GR",20.3748,105.868482241469
"POPTRE04_SH",27.2844,140.465928705956
"POPTRE04_WM",23.2526,124.651600058504
"POPTRE07_GR",20.3084,136.604493214798
"PRUPEN01_GR",21.7782,201.491627491828
"PRUPEN01_WM",19.0528,244.180531621452
"PRUPEN02_SH",20.07,255.236870453505
"PRUPEN02_WM",22.728,221.982301474048
"PRUPEN03_SH",17.076,292.922851325835
"PRUPEN03_WM",17.8206,269.793874099227
"PRUPEN04_HF",20.025,125.048936530912
"PRUPEN04_SH",22.2748,268.940863497989
"PRUPEN04_WM",20.0106,239.057863125897
"PRUPEN05_GR",17.4786,204.906739822198
"PRUPEN05_HF",16.9294,280.931857411912
"PRUPEN06_GR",19.9638,242.472975456267
"PRUPEN06_HF",21.272,161.021918272681
"PRUPEN06_SH",17.3702,267.227864367429
"PRUPEN07_HF",16.829,190.142903492209
"PRUPEN09_GR",17.1482,157.095167197018
"QUEALB04_HF",15.902,524.177733951494
"QUEALB08_HF",16.1122,543.020724387659
"QUEALB09_HF",14.2578,522.464734820934
"QUEALB11_HF",15.7126,567.002712215505
"QUERUB01_GR",18.4184,505.436624894754
"QUERUB01_WM",16.6026,238.29588282331
"QUERUB02_SH",13.9458,417.971787856747
"QUERUB02_WM",15.687,337.01846285011
"QUERUB03_WM",15.8418,502.123467377689
"QUERUB04_SH",16.557,551.585720040461
"QUERUB04_WM",16.1726,267.231811451855
"QUERUB05_SH",16.5374,477.926757426363
"QUERUB06_SH",13.5932,364.868814809374
"QUERUB15_HF",14.0002,493.343749601407
"QUERUB16_HF",12.8232,431.675780901231
"QUERUB17_HF",12.967,440.240776554033
"QUERUB21_HF",13.086,561.863714823824
"QUEVAL01_HF",13.7686,421.397786117868
"QUEVAL02_HF",14.748,322.043836545363
"QUEVAL03_HF",17.6142,277.505859150791
"QUEVAL09_HF",14.6222,409.406792203945
"RHAFRA01_GR",15.1286,300.529885072557
"RHAFRA01_HF",12.5796,104.492946964187
"RHAFRA01_WM",13.379,219.572634887193
"RHAFRA02_HF",14.0654,99.3539495725055
"RHAFRA12_HF",13.8502,272.36686175911
"RHAFRA17_HF",12.5364,171.299913056044
"RHOPRI01_WM",12.7266,78.2972186419448
"RHOPRI02_WM",14.362,156.59443728389
"RHOPRI03_GR",13.7468,239.057863125897
"RHOPRI03_HF",13.995,204.906739822198
"RHOPRI03_WM",12.6604,139.57330279651
"RHOPRI04_GR",13.9054,322.728115219961
"RHOPRI04_HF",15.9248,88.792920589619
"RHOPRI04_WM",14.057,182.126139014959
"RHOPRI05_GR",13.9478,172.463172683683
"RHOPRI05_HF",14.6382,110.991150737024
"RHOPRI06_HF",12.2078,175.878285014053
"RIBGLA02_SH",16.742,138.312049379983
"RIBGLA04_SH",15.825,119.528931562949
"RIBGLA05_SH",15.5578,148.557386371093
"RIBGLA06_SH",15.9898,122.944043893319
"SAMRAC01_GR",32.4886,80.2551397636941
"SAMRAC01_SH",30.8086,87.085364424434
"SAMRAC02_GR",33.797,104.160926076284
"SAMRAC02_SH",32.1256,88.792920589619
"SAMRAC03_GR",39.7108,46.1040164599945
"SAMRAC03_SH",28.7116,107.576038406654
"SAMRAC04_GR",30.3572,107.576038406654
"SAMRAC05_SH",34.7158,66.5946904422143
"SORAME01_GR",24.4516,93.9155890851739
"SORAME01_SH",24.075,187.831178170348
"SORAME02_SH",24.9338,177.585841179238
"SORAME03_GR",26.364,126.359156223689
"SORAME03_HF",23.4252,63.1795781118443
"SORAME03_SH",16.5186,237.350306960712
"SORAME04_GR",24.743,184.416065839978
"SORAME04_HF",22.0692,56.3493534511044
"SORAME06_GR",24.0998,181.000953509608
"SORAME07_HF",21.9626,70.0098027725842
"SORAME08_HF",22.4068,117.821375397764
"SPIALB01_HF",12.2688,662.531792091773
