Individual,Site,Species,Latitude,Longitude,Elevation,Leaf area,Fresh mass,Dry mass,Stem volume,Stem mass,Height,Distance,Bottom m,Top m,DBH,DBH 2,DBH 3,Summer 2015 notes,Summer 2015 Route,Summer 2015 Date Sampled,%N,%C
ALNINC05_GR,GR,ALNINC,44.92423003,-71.09345701,414,193.661,3.47,1.2,3.01,1.54,,,-1,5.75,,,,,,,,
ALNINC06_GR,GR,ALNINC,44.92404101,-71.09397098,415,311.977,4.07,1.32,2.93,1.53,,,,,,,,,,,,
ALNINC07_GR,GR,ALNINC,44.924456,-71.09395003,413,222.342,3.49,1.22,1.57,0.67,,,,,,,,,,,,
ALNINC08_GR,GR,ALNINC,44.88019796,-71.09827702,454,,,,,,,,,,,,,,,,,
AMECAN01_GR,GR,AMECAN,44.87926296,-71.10255204,436,240.79,2.26,0.68,0.54,0.29,,,,,,,,,,,,
AMECAN02_GR,GR,AMECAN,44.87928903,-71.10274298,437,257.93,3.18,1.06,0.77,0.44,,,,,,,,,,,,
AMECAN03_GR,GR,AMECAN,44.88019302,-71.103725,446,179.89,1.98,0.79,0.88,0.57,,,,,,,,,,,,
AMECAN04_GR,GR,AMECAN,44.88014298,-71.10378502,446,162.143,2.29,0.87,1.23,0.82,,,,,,,,,,,,
AMECAN05_GR,GR,AMECAN,44.88043701,-71.10377404,444,117.846,1.84,0.75,1.48,0.94,,,,,,,,,,,,
AMECAN06_GR,GR,AMECAN,44.88052201,-71.10373003,444,172.148,2.4,1.03,1.13,0.65,,,,,,,,,,,,
AMELAE01_GR,GR,AMELAE,44.88035001,-71.10001702,425,264.908,2.81,0.97,0.83,0.47,,,,,2.1,1,,,,,,
AMELAE02_GR,GR,AMELAE,44.88041304,-71.10376096,445,160.917,2.06,0.81,1.01,0.66,,,,,,,,,,,,
AMELAE03_GR,GR,AMELAE,44.88074496,-71.10272597,441,178.636,2.33,0.91,0.75,0.47,,,,,,,,,,,,
AMELAE04_GR,GR,AMELAE,44.87963797,-71.104142,443,255.363,2.78,0.93,0.34,0.19,,,,,,,,,,,,
AMELAE05_GR,GR,AMELAE,44.88031497,-71.10372199,450,180.567,2.22,0.84,0.46,0.25,,,,,,,,,,,,
AMELAE06_GR,GR,AMELAE,44.88039996,-71.10365401,446,148.215,2.35,0.88,1.03,0.72,,,,,,,,,,,,
BETALL01_GR,GR,BETALL,44.92353198,-71.09133999,429,322.447,3.68,1,1.15,0.65,,,-3.25,7.5,9.9,,,,,,,
BETALL02_GR,GR,BETALL,44.92352201,-71.09132297,428,281.246,2.61,0.64,3.03,1.55,,,-2.25,8,8.5,,,,,,,
BETALL03_GR,GR,BETALL,44.92358998,-71.09138399,426,286.151,2.96,0.72,2.18,1.31,,,-0.25,10.5,14.5,,,,,,,
BETALL04_GR,GR,BETALL,44.92367498,-71.09191398,445,307.945,3.24,0.72,0.75,0.4,,,-1,9,,,,,,,,
BETALL05_GR,GR,BETALL,44.92381596,-71.09251798,425,260.593,2.97,0.78,4.06,2.4,,,-1.5,19,,,,,,,,
BETALL06_GR,GR,BETALL,44.92413204,-71.09307697,417,289.867,4.59,1.34,1.52,0.8,,,-1.5,17,,,,,,,,
BETALL07_GR,GR,BETALL,44.92437101,-71.09319398,415,261.5,3.17,0.96,1.5,0.83,,,-1.25,14.5,19.5,23.1,,,,,,
BETALL08_GR,GR,BETALL,44.92426297,-71.09446996,419,273.223,3.43,1.06,2.02,1.09,,,-0.75,18,,,,,,,,
BETALL09_GR,GR,BETALL,44.92474501,-71.09601198,425,311.477,3.86,1.13,1.77,0.89,,,-1,7,,,,,,,,
BETALL10_GR,GR,BETALL,44.88038697,-71.09877499,452,,,,,,,,,,,,,,,,,
BETALL11_GR,GR,BETALL,44.89885398,-71.07404502,435,295.156,3.13,0.74,1.37,0.71,,,-1.5,5.75,,,,,,,,
BETALL12_GR,GR,BETALL,44.92494903,-71.09613201,420,307.95,4.38,1.23,0.91,0.54,,,-1.75,17.5,,,,,,,,
BETPAP01_GR,GR,BETPAP,44.87432996,-71.05300603,389,236.692,3.86,1.1,2.14,0.86,,,-1.75,24,,,,,,,,
BETPAP02_GR,GR,BETPAP,44.92313703,-71.09010902,428,205.318,2.12,0.61,1.91,1.04,,,-1.25,11,16.9,,,,,,,
BETPAP03_GR,GR,BETPAP,44.87536102,-71.05296797,391,332.789,6.78,2.09,2.89,1.58,,,-1.75,17.75,,,,,,,,
BETPAP04_GR,GR,BETPAP,44.88006201,-71.09989003,452,293.454,3.7,1.32,1.97,1.03,,,-2,8,,,,,,,,
BETPAP05_GR,GR,BETPAP,44.87937201,-71.10092402,446,220.294,3.57,1.48,1.83,0.96,,,-2.25,3.75,,,,,,,,
BETPAP06_GR,GR,BETPAP,44.89795603,-71.07741698,422,288.665,3.95,1.34,2.16,1.16,,,-1.5,8.5,,,,,,,,
BETPOP01_GR,GR,BETPOP,44.88022897,-71.10380396,433,,,,,,,,,,,,,,,,,
BETPOP02_GR,GR,BETPOP,,,,,,,,,4.1,,,,3.1,,,,,,,
BETPOP03_GR,GR,BETPOP,,,,,,,,,,,-1.5,7.5,7.9,,,,,,,
CORALT01_GR,GR,CORALT,44.92369702,-71.09207701,438,269.42,2.47,0.61,0.65,0.32,,,,,,,,,,,,
CORALT02_GR,GR,CORALT,44.924643,-71.09522299,419,,,,,,,,,,,,,TOO SMALL,,,,
CORALT03_GR,GR,CORALT,44.92461501,-71.09537998,422,123.289,1.57,0.57,0.23,0.13,,,,,,,,,,,,
CORALT04_GR,GR,CORALT,44.92540902,-71.09723599,429,172.417,1.89,0.69,0.6,0.36,1,,,,,,,,,,,
CORALT05_GR,GR,CORALT,44.924413,-71.09464003,433,197.955,2.4,0.72,0.46,0.18,,,,,,,,,,,,
CORALT06_GR,GR,CORALT,44.92439004,-71.09467397,413,194.953,1.98,0.52,2.66,1.37,<1,,,,<1,,,"New. L of path, near bend",,,,
CORALT07_GR,GR,CORALT,44.889323,-71.07332502,467,152.732,1.43,0.38,0.33,0.2,,,,,,,,,,,,
CORCOR01_GR,GR,CORCOR,44.92354799,-71.09126204,453,176.271,1.49,0.39,0.55,0.32,,,,,,,,,,,,
CORCOR02_GR,GR,CORCOR,44.92361002,-71.091659,446,345.893,2.77,0.78,1.39,0.7,,,,,,,,,,,,
CORCOR03_GR,GR,CORCOR,44.92405904,-71.09221799,426,292.649,2.68,0.88,0.66,0.29,,,,,,,,,,,,
CORCOR04_GR,GR,CORCOR,44.923852,-71.09312802,416,193.647,2.1,0.65,0.89,0.43,,,,,,,,,,,,
CORCOR05_GR,GR,CORCOR,44.92398402,-71.09307798,419,240.207,2.43,0.78,0.66,0.34,,,,,,,,,,,,
CORCOR06_GR,GR,CORCOR,44.92311196,-71.09042603,433,209.074,1.89,0.61,1.07,0.53,,,,,,,,,,,,
CORCOR07_GR,GR,CORCOR,44.92305203,-71.09045503,436,199.274,1.66,0.58,0.69,0.34,,,,,,,,,,,,
CORCOR07-2_GR,GR,CORCOR,,,,,2.08,0.7,1.01,0.48,,,,,,,,Second corcor07,,,,
CORCOR08_GR,GR,CORCOR,44.88031598,-71.09866099,448,,,,,,,,,,,,,,,,,
DIELON01_GR,GR,DIELON,44.92405199,-71.09222897,429,,,,,,,,,,,,,,,,,
DIELON02_GR,GR,DIELON,44.92407203,-71.092291,424,,,,,,,,,,,,,,,,,
DIELON03_GR,GR,DIELON,44.92403599,-71.09222998,425,,,,,,,,,,,,,,,,,
DIELON04_GR,GR,DIELON,44.925203,-71.09779799,431,,,,,,,,,,,,,,,,,
DIELON05_GR,GR,DIELON,44.92526301,-71.09793001,432,,,,,,,,,,,,,,,,,
DIELON06_GR,GR,DIELON,44.92516897,-71.09794401,430,,,,,,,,,,,,,,,,,
DIELON07_GR,GR,DIELON,44.88033903,-71.09928201,470,,,,,,,,,,,,,,,,,
DIELON08_GR,GR,DIELON,44.88021498,-71.09950799,465,,,,,,,,,,,,,,,,,
FAGGRA01_GR,GR,FAGGRA,44.92378403,-71.09216301,430,239.768,1.71,0.65,1.68,1.14,,,-1.25,10.5,,,,,,,,
FAGGRA02_GR,GR,FAGGRA,44.88021799,-71.09986296,448,240.143,1.78,0.64,0.77,0.44,,,,,,,,,,,,
FAGGRA03_GR,GR,FAGGRA,44.88022302,-71.09980596,446,285.888,2.41,0.93,0.92,0.47,,,,,,,,,,,,
FAGGRA04_GR,GR,FAGGRA,44.88003301,-71.10004703,450,291.581,2.82,1.02,2.27,1.28,,,,,,,,,,,,
FAGGRA05_GR,GR,FAGGRA,44.87942599,-71.100905,444,296.722,2.37,0.89,1.2,0.79,,,,,,,,,,,,
FAGGRA06_GR,GR,FAGGRA,44.89875197,-71.07459697,428,360.022,4.37,1.57,1.88,1,,,-1.5,6.5,,,,,,,,
FRAAME01_GR,GR,FRAAME,44.92396499,-71.09304101,421,,,,,,,,,,,,,,,,,
FRAAME02_GR,GR,FRAAME,44.92363399,-71.09129498,426,159.509,1.83,0.51,1.5,0.69,4,,,,,,,,,,,
FRAAME03_GR,GR,FRAAME,44.923636,-71.09139296,425,151.796,1.99,0.49,1.96,0.69,5.5,,,,,,,,,,,
FRAAME04_GR,GR,FRAAME,44.88484698,-71.11950897,505,345.667,3.64,0.95,1.24,0.41,,,,,,,,,,,,
FRAAME04-2?_GR,GR,FRAAME,,,,,2.81,0.54,1.44,0.8,,,,,,,,,,,,
FRAAME05_GR,GR,FRAAME,44.88493902,-71.11943797,505,495.262,5.58,1.45,1.65,0.61,,,,,,,,,,,,
FRAAME06_GR,GR,FRAAME,,,,341.268,3.25,0.88,1.67,0.78,,,,,,,,,,,,
FRANIG01_GR,GR,FRANIG,44.92539796,-71.09773002,429,239.023,2.7,0.54,1.35,0.77,,,,,,,,,,,,
FRANIG02_GR,GR,FRANIG,44.92538597,-71.09776698,429,249.372,3.36,0.63,0.87,0.33,,,,,,,,,,,,
FRANIG03_GR,GR,FRANIG,44.92535697,-71.09775902,429,138.669,1.88,0.41,1.5,0.74,,,,,,,,,,,,
FRANIG04_GR,GR,FRANIG,44.92534298,-71.09768199,427,194.642,2.26,0.46,1.02,0.49,,,,,,,,,,,,
FRANIG05_GR,GR,FRANIG,44.92539503,-71.09791702,431,373.283,6,1.32,2.14,0.81,3.5,,,,,,,,,,,
FRANIG06_GR,GR,FRANIG,44.92533099,-71.09796002,431,328.635,5.4,1.2,1.47,0.61,3,,,,,,,,,,,
FRANIG07_GR,GR,FRANIG,44.92513997,-71.097799,431,139.506,1.87,0.36,1.65,0.77,,,,,,,,,,,,
FRANIG08_GR,GR,FRANIG,44.92508297,-71.09783303,430,300.019,4.13,0.82,1.14,0.48,,,,,,,,,,,,
ILEMUC01_GR,GR,ILEMUC,44.87406802,-71.05300804,390,117.397,2.1,0.68,0.78,0.38,1,,,,,,,,,,,
ILEMUC02_GR,GR,ILEMUC,44.88042796,-71.09902896,450,148.653,1.57,0.5,0.93,0.49,,,,,,,,,,,,
ILEMUC03_GR,GR,ILEMUC,44.88036702,-71.09886702,441,115.385,1.3,0.34,0.76,0.46,,,,,,,,,,,,
ILEMUC04_GR,GR,ILEMUC,44.89818804,-71.07653202,422,124.521,1.21,0.34,0.89,0.5,,,,,,,,,,,,
ILEMUC05_GR,GR,ILEMUC,44.89822702,-71.076458,421,248.741,2.46,0.62,0.97,0.49,,,,,,,,,,,,
ILEMUC06_GR,GR,ILEMUC,44.865968,-71.05163801,381,114.645,1.47,0.53,0.5,0.26,,,,,,,,,,,,
KALANG01_GR,GR,KALANG,44.87418998,-71.052873,341,28.194,0.48,0.16,0.15,0.09,,,,,,,,,,,,
KALANG02_GR,GR,KALANG,44.87405403,-71.05293998,385,30.248,0.65,0.28,0.23,0.1,,,,,,,,,,,,
KALANG03_GR,GR,KALANG,44.874064,-71.05289396,394,26.337,0.39,0.14,0.37,0.19,,,,,,,,,,,,
KALANG04_GR,GR,KALANG,44.87408596,-71.05287502,396,39.116,0.62,0.22,0.23,0.13,,,,,,,,,,,,
KALANG05_GR,GR,KALANG,,,,37.765,0.58,0.21,0.36,0.19,,,,,,,,,,,,
KALANG06_GR,GR,KALANG,,,,36.599,0.59,0.21,0.36,0.2,,,,,,,,,,,,
LONCAN01_GR,GR,LONCAN,44.92511599,-71.09670902,424,72.011,0.68,0.22,0.14,0.08,,,,,,,,"V tiny, sampled anyways",,,,
LONCAN02_GR,GR,LONCAN,44.92519696,-71.09801802,431,80.177,0.74,0.29,0.31,0.18,,,,,,,,Green fruit,,,,
LONCAN03_GR,GR,LONCAN,44.925161,-71.09791098,431,139.818,2.02,0.66,0.24,0.09,,,,,,,,Green fruit,,,,
LONCAN03_GR,GR,LONCAN,44.880147,-71.09804501,451,139.818,1.38,0.49,0.88,0.46,,,,,,,,,,,,
LONCAN04_GR,GR,LONCAN,44.87742498,-71.05683303,392,,,,,,,,,,,,,,,,,
LONCAN05_GR,GR,LONCAN,44.89759301,-71.07720802,420,141.011,1.22,0.37,0.78,0.42,,,,,,,,,,,,
LONCAN06_GR,GR,LONCAN,44.89863697,-71.07388702,425,112.599,1,0.27,0.26,0.14,,,,,,,,,,,,
LONCAN07_GR,GR,LONCAN,44.89877704,-71.07405198,428,120.701,1.16,0.33,0.3,0.22,,,,,,,,Green fruit,,,,
MYRGAL01_GR,GR,MYRGAL,44.86612198,-71.05144599,392,72.144,1.21,0.44,0.51,0.26,,,,,,,,,,,,
MYRGAL02_GR,GR,MYRGAL,44.86607999,-71.05146702,391,85.264,1.5,0.59,0.72,0.33,,,,,,,,,,,,
MYRGAL03_GR,GR,MYRGAL,44.86607303,-71.05148303,380,80.359,1.53,0.53,1.13,0.5,,,,,,,,,,,,
MYRGAL04_GR,GR,MYRGAL,44.86592299,-71.05159703,385,83.225,1.36,0.5,1.03,0.45,,,,,,,,,,,,
MYRGAL05_GR,GR,MYRGAL,,,,83.264,1.36,0.48,0.81,0.37,,,,,,,,,,,,
MYRGAL06_GR,GR,MYRGAL,44.865909,-71.051578,383,63.526,1.12,0.4,0.39,0.21,,,,,,,,,,,,
POPTRE01_GR,GR,POPTRE,44.92347004,-71.08994499,435,,,,,,,,,,,,,,,,,
POPTRE02_GR,GR,POPTRE,44.88037004,-71.099395,465,212.994,2.58,1.08,3.02,1.38,,,-1,6.25,,,,,,,,
POPTRE03_GR,GR,POPTRE,44.87955499,-71.10073602,442,183.932,3.02,1.08,1.02,0.57,,,-1,7.25,,,,,,,,
POPTRE04_GR,GR,POPTRE,44.87936304,-71.10074901,445,253.739,3.34,1.17,0.95,0.46,,,,,,,,,,,,
POPTRE05_GR,GR,POPTRE,44.87923597,-71.10111698,447,,,,,,,,,,,,,,,,,
POPTRE06_GR,GR,POPTRE,44.88032302,-71.10365401,430,171.577,2.46,0.97,2.02,0.97,,,,,,,,,,,,
POPTRE07_GR,GR,POPTRE,44.924341,-71.09822698,421,231.284,3.8,1.43,1.94,0.85,,,-1,9.5,7.4,9.5,,New tagged,,,,
PRUPEN01_GR,GR,PRUPEN,44.92319101,-71.09049601,436,227.616,2.9,0.8,0.91,0.47,,,,,,,,,,,,
PRUPEN02_GR,GR,PRUPEN,44.92462398,-71.09470398,421,,,,,,,,,,,,,TOO SMALL,,,,
PRUPEN03_GR,GR,PRUPEN,44.85514998,-71.05558597,376,300.436,3.39,0.92,1.5,0.65,,,,,,,,,,,,
PRUPEN04_GR,GR,PRUPEN,44.85509299,-71.05544399,379,234.397,2.76,0.9,1.37,0.74,,,,,,,,,,,,
PRUPEN05_GR,GR,PRUPEN,44.88084404,-71.10326098,456,157.092,2.21,0.76,0.98,0.46,,,,,,,,,,,,
PRUPEN06_GR,GR,PRUPEN,44.88082199,-71.10325998,455,179.664,2.45,0.8,1.35,0.76,,,,,,,,,,,,
PRUPEN07_GR,GR,PRUPEN,44.88072401,-71.10367698,455,,,,,,,,,,,,,,,,,
PRUPEN08_GR,GR,PRUPEN,44.88040801,-71.10362803,426,,,,,,,,,,,,,,,,,
PRUPEN09_GR,GR,PRUPEN,44.89827303,-71.07633898,448,231.476,3.54,1.13,1.42,0.76,2.3,,,,1.6,1,<1,New tagged. Fourth stem also <1,,,,
QUERUB01_GR,GR,QUERUB,44.85718,-71.05403398,385,254.122,3.69,1.41,1.4,0.74,,,,,,,,,,,,
RHAFRA01_GR,GR,RHAFRA,44.86426396,-71.05143299,394,219.328,2.87,0.59,1.65,0.68,,,,,,,,,,,,
RHOPRI01_GR,GR,RHOPRI,44.874122,-71.05292497,387,53.623,0.59,0.16,0.41,0.18,1,,,,,,,,,,,
RHOPRI02_GR,GR,RHOPRI,44.86591201,-71.05156702,381,27.377,0.39,0.1,0.22,0.11,,,,,,,,,,,,
RHOPRI03_GR,GR,RHOPRI,44.86597898,-71.05165704,380,30.672,0.41,0.12,0.25,0.12,,,,,,,,,,,,
RHOPRI04_GR,GR,RHOPRI,,,,50.536,0.56,0.17,0.53,0.25,,,,,,,,,,,,
RHOPRI05_GR,GR,RHOPRI,,,,37.17,0.48,0.15,1.43,0.64,,,,,,,,,,,,
RIBGLA01_GR,GR,RIBGLA,44.92358202,-71.09127101,446,202.037,1.92,0.47,0.55,0.24,,,,,,,,,,,,
RIBGLA02_GR,GR,RIBGLA,44.923046,-71.09054999,428,107.183,1.15,0.36,1.68,0.89,,,,,,,,,,,,
RIBGLA03_GR,GR,RIBGLA,44.92304801,-71.09055804,429,176.458,1.93,0.46,0.36,0.13,,,,,,,,,,,,
RIBGLA04_GR,GR,RIBGLA,44.88043802,-71.10372903,450,103.304,1.31,0.4,0.56,0.29,,,,,,,,,,,,
RIBGLA05_GR,GR,RIBGLA,44.88666904,-71.07413798,409,44.058,0.47,0.14,0.39,0.2,,,,,,,,,,,,
RIBGLA06_GR,GR,RIBGLA,44.88915604,-71.074344,466,77.804,0.89,0.27,0.2,0.13,,,,,,,,,,,,
SAMRAC01_GR,GR,SAMRAC,44.92402903,-71.09292199,424,229.082,3.21,0.62,2.29,0.61,,,,,,,,,,,,
SAMRAC02_GR,GR,SAMRAC,44.92398997,-71.09301796,423,222.709,3.76,0.81,0.76,0.23,,,,,,,,,,,,
SAMRAC03_GR,GR,SAMRAC,44.92307802,-71.09037297,432,147.781,2.43,0.47,1.01,0.26,,,,,,,,,,,,
SAMRAC04_GR,GR,SAMRAC,44.92417102,-71.09273197,415,192.135,3.38,0.76,0.91,0.25,,,,,,,,MISSING,,,,
SAMRAC05_GR,GR,SAMRAC,44.88024096,-71.09836897,450,163.253,2.75,0.62,3.76,0.8,,,,,,,,,,,,
SAMRAC06_GR,GR,SAMRAC,44.88020098,-71.09828398,453,244.592,5.01,1.1,1.75,0.5,,,,,,,,,,,,
SORAME01_GR,GR,SORAME,44.92404001,-71.09228597,416,125.534,1.25,0.28,0.82,0.34,,,,,,,,,,,,
SORAME02_GR,GR,SORAME,44.92544901,-71.09716399,431,239.316,3.04,1,0.81,0.37,,,,,,,,,,,,
SORAME03_GR,GR,SORAME,44.88003803,-71.09799203,453,108.128,1.02,0.25,1.09,0.5,,,,,,,,,,,,
SORAME04_GR,GR,SORAME,44.89894099,-71.07394502,428,114.42,1.36,0.42,1.86,0.97,3,,,,,,,,,,,
SORAME05_GR,GR,SORAME,44.88005999,-71.1,361,147.248,1.54,0.39,1.23,0.55,,,,,3.6,1.7,3.7,"other dbh: 4.0, 5.2, 2.8",,,,
SORAME06_GR,GR,SORAME,44.87972698,-71.10404796,442,147.571,1.55,0.42,1.35,0.61,,,,,,,,,,,,
SORAME07_GR,GR,SORAME,44.865751,-71.05155797,380,119.182,1.37,0.46,1.15,0.56,,,,,,,,,,,,
SPIALB01_GR,GR,SPIALB,44.92404202,-71.09297002,428,79.036,0.79,0.33,0.42,0.23,1.5,,,,,,,"Missing, mown? Tagged a new one by the water, R of the bridge, now new SPIALB01 in GPS",,,,
SPIALB02_GR,GR,SPIALB,44.92396298,-71.09288301,426,107.219,0.84,0.31,0.52,0.23,,,,,,,,,,,,
SPIALB03_GR,GR,SPIALB,44.92409902,-71.09325903,418,131.437,1.02,0.33,0.32,0.14,,,,,,,,,,,,
SPIALB04_GR,GR,SPIALB,44.92325798,-71.09059299,436,72.567,0.53,0.16,0.31,0.13,,,,,,,,,,,,
SPIALB05_GR,GR,SPIALB,44.92407496,-71.09395003,410,146.574,1.65,0.67,0.45,0.25,,,,,,,,,,,,
SPIALB06_GR,GR,SPIALB,44.92433002,-71.093931,412,77.082,0.62,0.23,0.59,0.34,,,,,,,,,,,,
SPIALB07_GR,GR,SPIALB,44.88024297,-71.09962198,463,88.784,0.76,0.24,0.55,0.24,,,,,,,,,,,,
SPIALB08_GR,GR,SPIALB,44.87926397,-71.10101103,446,,,,,,,,,,,,,,,,,
SPIALB09_GR,GR,SPIALB,44.89824302,-71.07650301,420,67.716,0.61,0.26,0.32,0.2,,,,,,,,,,,,
SPIALB10_GR,GR,SPIALB,44.89830396,-71.076156,419,96.109,0.97,0.4,0.52,0.25,,,,,,,,,,,,
ULMAME01_GR,GR,ULMAME,44.92397002,-71.09301201,421,267.276,2.55,0.73,2.38,1.47,,,,,,,,,,,,
ULMAME02_GR,GR,ULMAME,44.92359099,-71.09104704,281,318.664,5.39,1.34,0.79,0.43,4.5,,,,4.1,,,New tagged,,,,
ULMAME03_GR,GR,ULMAME,44.924225,-71.09305803,400,189.53,2.41,0.74,0.78,0.57,,,-1.25,6.5,8.2,11.2,,,,,,
ULMAME04_GR,GR,ULMAME,44.92409801,-71.09287304,405,261.466,3.7,1.01,0.78,0.41,,,-1.25,15,26.6,,,,,,,
ULMAME05_GR,GR,ULMAME,44.92522001,-71.09773496,396,264.25,4.06,1.21,1.48,0.81,,,-2.5,11,14.3,,,,,,,
ULMAME06_GR,GR,ULMAME,44.92530802,-71.09783504,415,299.676,4.34,1.27,3.27,1.79,,,-2.5,11,21.3,,,,,,,
VACMYR01_GR,GR,VACMYR,44.92358797,-71.090637,423,137.091,1.21,0.32,0.05,0.09,,,,,,,,,,,,
VACMYR02_GR,GR,VACMYR,44.92354296,-71.09069299,420,119.734,1.07,0.25,0.11,0.11,,,,,,,,,,,,
VACMYR03_GR,GR,VACMYR,44.92367799,-71.09070799,436,189.879,1.75,0.49,0.12,0.09,,,,,,,,,,,,
VACMYR04_GR,GR,VACMYR,44.87429299,-71.05352101,396,84.138,0.88,0.25,0.36,0.24,1,,,,,,,,,,,
VACMYR05_GR,GR,VACMYR,44.87411697,-71.05296001,389,43.809,0.48,0.16,0.68,0.44,0.75,,,,,,,,,,,
VACMYR06_GR,GR,VACMYR,44.88047599,-71.09907598,475,82.944,0.79,0.22,0.23,0.13,,,,,,,,,,,,
